Month,Month Key,Lead Source,New Leads,Qualified Leads,Qualification Rate,Acquisition Spend
2024-12-01,2024-12,Organic Search,409,249,0.60880195599022,7362
2024-12-01,2024-12,Paid Ads,367,176,0.47956403269754766,22754
2024-12-01,2024-12,Referral,265,178,0.6716981132075471,3180
2024-12-01,2024-12,Events,199,109,0.5477386934673367,14726
2024-12-01,2024-12,Outbound,190,74,0.3894736842105263,7790
2025-01-01,2025-01,Organic Search,375,229,0.6106666666666667,6986
2025-01-01,2025-01,Paid Ads,324,156,0.48148148148148145,20791
2025-01-01,2025-01,Referral,225,151,0.6711111111111111,2794
2025-01-01,2025-01,Events,167,92,0.5508982035928144,12791
2025-01-01,2025-01,Outbound,165,64,0.3878787878787879,7002
2025-02-01,2025-02,Organic Search,375,229,0.6106666666666667,6986
2025-02-01,2025-02,Paid Ads,312,150,0.4807692307692308,20021
2025-02-01,2025-02,Referral,214,143,0.6682242990654206,2658
2025-02-01,2025-02,Events,165,91,0.5515151515151515,12637
2025-02-01,2025-02,Outbound,171,67,0.391812865497076,7256
2025-03-01,2025-03,Organic Search,375,229,0.6106666666666667,6986
2025-03-01,2025-03,Paid Ads,309,148,0.47896440129449835,19829
2025-03-01,2025-03,Referral,220,147,0.6681818181818182,2732
2025-03-01,2025-03,Events,177,97,0.5480225988700564,13556
2025-03-01,2025-03,Outbound,186,73,0.3924731182795699,7893
2025-04-01,2025-04,Organic Search,387,236,0.6098191214470284,7210
2025-04-01,2025-04,Paid Ads,330,158,0.47878787878787876,21176
2025-04-01,2025-04,Referral,246,165,0.6707317073170732,3055
2025-04-01,2025-04,Events,201,111,0.5522388059701493,15395
2025-04-01,2025-04,Outbound,204,80,0.39215686274509803,8657
2025-05-01,2025-05,Organic Search,400,244,0.61,7452
2025-05-01,2025-05,Paid Ads,357,171,0.4789915966386555,22909
2025-05-01,2025-05,Referral,269,180,0.6691449814126395,3341
2025-05-01,2025-05,Events,213,117,0.5492957746478874,16314
2025-05-01,2025-05,Outbound,207,81,0.391304347826087,8784
2025-06-01,2025-06,Organic Search,379,231,0.6094986807387863,7061
2025-06-01,2025-06,Paid Ads,342,164,0.47953216374269003,21946
2025-06-01,2025-06,Referral,250,168,0.672,3105
2025-06-01,2025-06,Events,189,104,0.5502645502645502,14476
2025-06-01,2025-06,Outbound,181,71,0.39226519337016574,7681
2025-07-01,2025-07,Organic Search,372,227,0.6102150537634409,6930
2025-07-01,2025-07,Paid Ads,326,156,0.4785276073619632,20919
2025-07-01,2025-07,Referral,228,153,0.6710526315789473,2832
2025-07-01,2025-07,Events,169,93,0.5502958579881657,12944
2025-07-01,2025-07,Outbound,165,64,0.3878787878787879,7002
2025-08-01,2025-08,Organic Search,403,246,0.6104218362282878,7508
2025-08-01,2025-08,Paid Ads,338,162,0.47928994082840237,21689
2025-08-01,2025-08,Referral,232,155,0.6681034482758621,2881
2025-08-01,2025-08,Events,176,97,0.5511363636363636,13480
2025-08-01,2025-08,Outbound,181,71,0.39226519337016574,7681
2025-09-01,2025-09,Organic Search,420,256,0.6095238095238096,7825
2025-09-01,2025-09,Paid Ads,346,166,0.4797687861271676,22203
2025-09-01,2025-09,Referral,243,163,0.6707818930041153,3018
2025-09-01,2025-09,Events,194,107,0.5515463917525774,14858
2025-09-01,2025-09,Outbound,203,79,0.3891625615763547,8614
2025-10-01,2025-10,Organic Search,404,246,0.6089108910891089,7527
2025-10-01,2025-10,Paid Ads,340,163,0.47941176470588237,21818
2025-10-01,2025-10,Referral,251,168,0.6693227091633466,3117
2025-10-01,2025-10,Events,205,113,0.551219512195122,15701
2025-10-01,2025-10,Outbound,210,82,0.3904761904761905,8911
2025-11-01,2025-11,Organic Search,416,254,0.6105769230769231,7750
2025-11-01,2025-11,Paid Ads,367,176,0.47956403269754766,23550
2025-11-01,2025-11,Referral,277,186,0.6714801444043321,3440
2025-11-01,2025-11,Events,222,122,0.5495495495495496,17003
2025-11-01,2025-11,Outbound,218,85,0.38990825688073394,9251
2025-12-01,2025-12,Organic Search,458,279,0.6091703056768559,8533
2025-12-01,2025-12,Paid Ads,414,199,0.4806763285024155,26566
2025-12-01,2025-12,Referral,307,206,0.6710097719869706,3813
2025-12-01,2025-12,Events,235,129,0.548936170212766,17999
2025-12-01,2025-12,Outbound,224,87,0.38839285714285715,9505
2026-01-01,2026-01,Organic Search,395,241,0.610126582278481,7608
2026-01-01,2026-01,Paid Ads,350,168,0.48,23219
2026-01-01,2026-01,Referral,248,166,0.6693548387096774,3184
2026-01-01,2026-01,Events,184,101,0.5489130434782609,14569
2026-01-01,2026-01,Outbound,178,69,0.38764044943820225,7809
2026-02-01,2026-02,Organic Search,407,248,0.6093366093366094,7839
2026-02-01,2026-02,Paid Ads,345,166,0.4811594202898551,22887
2026-02-01,2026-02,Referral,237,159,0.6708860759493671,3043
2026-02-01,2026-02,Events,178,98,0.550561797752809,14094
2026-02-01,2026-02,Outbound,180,70,0.3888888888888889,7897
2026-03-01,2026-03,Organic Search,440,268,0.6090909090909091,8474
2026-03-01,2026-03,Paid Ads,362,174,0.48066298342541436,24015
2026-03-01,2026-03,Referral,252,169,0.6706349206349206,3236
2026-03-01,2026-03,Events,198,109,0.5505050505050505,15678
2026-03-01,2026-03,Outbound,208,81,0.3894230769230769,9125
2026-04-01,2026-04,Organic Search,445,271,0.6089887640449438,8571
2026-04-01,2026-04,Paid Ads,371,178,0.4797843665768194,24612
2026-04-01,2026-04,Referral,270,181,0.6703703703703704,3467
2026-04-01,2026-04,Events,220,121,0.55,17420
2026-04-01,2026-04,Outbound,228,89,0.39035087719298245,10002
2026-05-01,2026-05,Organic Search,427,260,0.6088992974238876,8224
2026-05-01,2026-05,Paid Ads,373,179,0.47989276139410186,24745
2026-05-01,2026-05,Referral,281,188,0.6690391459074733,3608
2026-05-01,2026-05,Events,227,125,0.5506607929515418,17974
2026-05-01,2026-05,Outbound,226,88,0.3893805309734513,9915
2026-06-01,2026-06,Organic Search,408,249,0.6102941176470589,7858
2026-06-01,2026-06,Paid Ads,368,177,0.48097826086956524,24413
2026-06-01,2026-06,Referral,275,184,0.6690909090909091,3531
2026-06-01,2026-06,Events,213,117,0.5492957746478874,16865
2026-06-01,2026-06,Outbound,204,80,0.39215686274509803,8949
2026-07-01,2026-07,Organic Search,418,255,0.6100478468899522,8051
2026-07-01,2026-07,Paid Ads,374,180,0.48128342245989303,24811
2026-07-01,2026-07,Referral,268,180,0.6716417910447762,3441
2026-07-01,2026-07,Events,200,110,0.55,15836
2026-07-01,2026-07,Outbound,192,75,0.390625,8423
2026-08-01,2026-08,Organic Search,442,270,0.6108597285067874,8513
2026-08-01,2026-08,Paid Ads,380,182,0.4789473684210526,25209
2026-08-01,2026-08,Referral,262,176,0.6717557251908397,3364
2026-08-01,2026-08,Events,196,108,0.5510204081632653,15519
2026-08-01,2026-08,Outbound,195,76,0.38974358974358975,8555
2026-09-01,2026-09,Organic Search,459,280,0.6100217864923747,8840
2026-09-01,2026-09,Paid Ads,379,182,0.48021108179419525,25143
2026-09-01,2026-09,Referral,262,176,0.6717557251908397,3364
2026-09-01,2026-09,Events,203,112,0.5517241379310345,16074
2026-09-01,2026-09,Outbound,211,82,0.3886255924170616,9257
2026-10-01,2026-10,Organic Search,466,284,0.6094420600858369,8975
2026-10-01,2026-10,Paid Ads,385,185,0.4805194805194805,25541
2026-10-01,2026-10,Referral,276,185,0.6702898550724637,3544
2026-10-01,2026-10,Events,224,123,0.5491071428571429,17736
2026-10-01,2026-10,Outbound,234,91,0.3888888888888889,10266
2026-11-01,2026-11,Organic Search,477,291,0.610062893081761,9187
2026-11-01,2026-11,Paid Ads,410,197,0.48048780487804876,27199
2026-11-01,2026-11,Referral,307,206,0.6710097719869706,3942
2026-11-01,2026-11,Events,250,138,0.552,19795
2026-11-01,2026-11,Outbound,252,98,0.3888888888888889,11055
2026-12-01,2026-12,Organic Search,488,298,0.610655737704918,9399
2026-12-01,2026-12,Paid Ads,438,210,0.4794520547945205,29057
2026-12-01,2026-12,Referral,329,220,0.668693009118541,4224
2026-12-01,2026-12,Events,259,142,0.5482625482625483,20508
2026-12-01,2026-12,Outbound,250,98,0.392,10968
